id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
476968,"Paul, Apostle of Christ",en,5000000,25915966,108,2.3504,7.605,373,2018-03-23,2018,"[{'name': 'Drama', 'id': 18}]","['Outside Da Box', 'Affirm Films', 'ODB Films']","[{'id': 8767, 'name': 'Jim Caviezel', 'popularity': 4.7182}, {'id': 9140, 'name': 'James Faulkner', 'popularity': 2.2326}, {'id': 15533, 'name': 'Olivier Martinez', 'popularity': 1.2405}, {'id': 12656, 'name': 'Joanne Whalley', 'popularity': 2.9331}, {'id': 28743, 'name': 'John Lynch', 'popularity': 2.0827}]","{'id': 1331465, 'name': 'Andrew Hyatt', 'popularity': 1.1258}"
412988,The Happytime Murders,en,40000000,27500000,90,2.6501,5.776,1024,2018-08-22,2018,"[{'name': 'Action', 'id': 28}, {'name': 'Comedy', 'id': 35}, {'name': 'Crime', 'id': 80}]","['STXfilms', 'Black Bear Pictures', 'Henson Alternative', 'Huayi Brothers Pictures', 'On the Day']","[{'id': 55536, 'name': 'Melissa McCarthy', 'popularity': 3.0159}, {'id': 64182, 'name': 'Bill Barretta', 'popularity': 1.6145}, {'id': 1230842, 'name': 'Leslie David Baker', 'popularity': 1.3366}, {'id': 9281, 'name': 'Elizabeth Banks', 'popularity': 5.0392}, {'id': 74949, 'name': 'Joel McHale', 'popularity': 2.9616}]","{'id': 65298, 'name': 'Brian Henson', 'popularity': 1.5471}"
351044,Welcome to Marwen,en,39000000,13061491,116,2.4043,6.522,1160,2018-12-21,2018,"[{'name': 'Drama', 'id': 18}, {'name': 'Comedy', 'id': 35}]","['DreamWorks Pictures', 'Universal Pictures', 'ImageMovers', 'Perfect World Pictures', 'dentsu']","[{'id': 4495, 'name': 'Steve Carell', 'popularity': 7.023}, {'id': 41087, 'name': 'Leslie Mann', 'popularity': 3.1646}, {'id': 28044, 'name': 'Merritt Wever', 'popularity': 2.3113}, {'id': 1005852, 'name': 'Janelle Monáe', 'popularity': 3.2997}, {'id': 9824, 'name': 'Diane Kruger', 'popularity': 4.9485}]","{'id': 24, 'name': 'Robert Zemeckis', 'popularity': 2.8694}"
371608,The Strangers: Prey at Night,en,12500000,31039126,86,2.1978,5.7,1403,2018-03-07,2018,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]","['Aviron Pictures', 'White Comet Films', 'Bloom', 'Rogue Pictures', 'The Fyzz', 'SoundNode', 'Ingenious Media']","[{'id': 54479, 'name': 'Bailee Madison', 'popularity': 3.3185}, {'id': 110014, 'name': 'Christina Hendricks', 'popularity': 6.9602}, {'id': 26291, 'name': 'Martin Henderson', 'popularity': 6.313}, {'id': 1700685, 'name': 'Lewis Pullman', 'popularity': 13.2488}, {'id': 1280334, 'name': 'Damian Maffei', 'popularity': 1.0564}]","{'id': 100734, 'name': 'Johannes Roberts', 'popularity': 1.6781}"
470229,Summer of 84,en,1500000,42027,105,2.2591,6.901,1345,2018-08-10,2018,"[{'name': 'Drama', 'id': 18}, {'name': 'Horror', 'id': 27}, {'name': 'Mystery', 'id': 9648}]","['Brightlight Pictures', 'Gunpowder & Sky']","[{'id': 1529426, 'name': 'Graham Verchere', 'popularity': 1.1821}, {'id': 1538780, 'name': 'Judah Lewis', 'popularity': 2.0767}, {'id': 1523924, 'name': 'Caleb Emery', 'popularity': 0.9935}, {'id': 1604540, 'name': 'Cory Gruter-Andrew', 'popularity': 1.0254}, {'id': 892734, 'name': 'Tiera Skovbye', 'popularity': 1.2579}]","{'id': 585934, 'name': 'Anouk Whissell', 'popularity': 0.1242}"
407439,Mary Magdalene,en,20000000,11710110,120,2.3113,6.321,544,2018-03-15,2018,"[{'name': 'Drama', 'id': 18}]","['Focus Features', 'Film4 Productions', 'FilmNation Entertainment', 'See-Saw Films', 'Porchlight Films', 'Lotus Production']","[{'id': 108916, 'name': 'Rooney Mara', 'popularity': 3.835}, {'id': 73421, 'name': 'Joaquin Phoenix', 'popularity': 4.1626}, {'id': 5294, 'name': 'Chiwetel Ejiofor', 'popularity': 3.6333}, {'id': 235125, 'name': 'Ariane Labed', 'popularity': 2.2991}, {'id': 1213279, 'name': 'Ryan Corr', 'popularity': 2.4195}]","{'id': 1173102, 'name': 'Garth Davis', 'popularity': 1.1602}"
458737,First Reformed,en,3500000,3988612,113,2.2542,7.0,1360,2018-05-18,2018,"[{'name': 'Drama', 'id': 18}]","['Arclight Films', 'Omeira Studio Partners', 'Killer Films', 'Fibonacci Films', 'Big Indie Pictures']","[{'id': 569, 'name': 'Ethan Hawke', 'popularity': 4.5359}, {'id': 71070, 'name': 'Amanda Seyfried', 'popularity': 9.4199}, {'id': 5726, 'name': 'Cedric the Entertainer', 'popularity': 3.3549}, {'id': 38663, 'name': 'Victoria Hill', 'popularity': 1.5527}, {'id': 211991, 'name': 'Philip Ettinger', 'popularity': 1.2926}]","{'id': 1035, 'name': 'Paul Schrader', 'popularity': 2.3259}"
503838,Raid,hi,4700000,18000000,120,2.1011,7.2,101,2018-03-16,2018,"[{'name': 'Crime', 'id': 80}, {'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}]","['Panorama Studios', 'T-Series']","[{'id': 42803, 'name': 'Ajay Devgn', 'popularity': 6.2857}, {'id': 76789, 'name': 'Saurabh Shukla', 'popularity': 1.6763}, {'id': 237040, 'name': ""Ileana D'Cruz"", 'popularity': 2.1509}, {'id': 1718097, 'name': 'Gayathri Iyer', 'popularity': 0.5615}, {'id': 1246564, 'name': 'Sheeba Chaddha', 'popularity': 1.2418}]","{'id': 230437, 'name': 'Raj Kumar Gupta', 'popularity': 0.4077}"
426426,Roma,es,15000000,1140769,135,2.5081,7.64,3944,2018-11-21,2018,"[{'name': 'Drama', 'id': 18}]","['Participant', 'Esperanto Filmoj']","[{'id': 1775557, 'name': 'Yalitza Aparicio', 'popularity': 0.7242}, {'id': 78883, 'name': 'Marina de Tavira', 'popularity': 1.0449}, {'id': 2108826, 'name': 'Diego Cortina Autrey', 'popularity': 0.2036}, {'id': 2108855, 'name': 'Carlos Peralta', 'popularity': 0.1172}, {'id': 1775556, 'name': 'Marco Graf', 'popularity': 0.0971}]","{'id': 11218, 'name': 'Alfonso Cuarón', 'popularity': 2.772}"
339380,On the Basis of Sex,en,20000000,38755968,120,2.1369,7.381,1049,2018-12-25,2018,"[{'name': 'Drama', 'id': 18}, {'name': 'History', 'id': 36}]","['Participant', 'Alibaba Pictures Group', 'Robert Cort Productions']","[{'id': 72855, 'name': 'Felicity Jones', 'popularity': 5.1453}, {'id': 53807, 'name': 'Armie Hammer', 'popularity': 2.9051}, {'id': 15009, 'name': 'Justin Theroux', 'popularity': 3.0851}, {'id': 8975, 'name': 'Sam Waterston', 'popularity': 2.7433}, {'id': 8534, 'name': 'Kathy Bates', 'popularity': 3.7011}]","{'id': 51984, 'name': 'Mimi Leder', 'popularity': 1.5991}"
446807,The Girl in the Spider's Web,en,43000000,35164920,115,2.3881,6.144,1397,2018-10-25,2018,"[{'name': 'Action', 'id': 28}, {'name': 'Crime', 'id': 80}, {'name': 'Thriller', 'id': 53}]","['Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Regency Enterprises', 'Scott Rudin Productions', 'The Cantillon Company', 'Rose Pine Productions', 'Studio Babelsberg', 'Yellow Bird UK']","[{'id': 120932, 'name': 'Claire Foy', 'popularity': 2.6722}, {'id': 87663, 'name': 'Sverrir Gudnason', 'popularity': 1.2448}, {'id': 1200864, 'name': 'LaKeith Stanfield', 'popularity': 3.8663}, {'id': 104632, 'name': 'Sylvia Hoeks', 'popularity': 2.371}, {'id': 39189, 'name': 'Stephen Merchant', 'popularity': 3.1189}]","{'id': 932248, 'name': 'Fede Álvarez', 'popularity': 1.858}"
460555,红海行动,zh,70000000,579330426,138,2.6811,7.363,395,2018-02-16,2018,"[{'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}, {'name': 'War', 'id': 10752}, {'name': 'Adventure', 'id': 12}]","['Bona Film Group', 'The P.L.A Navy Government TV Art Central of China', 'Star Dream Studio Media', 'Emperor Film Production', 'Film Fireworks Production', 'Zak Productions', 'Emperor Motion Pictures', 'Huaxia Film Distribution', 'Sun Entertainment Culture', 'Tao Piao Piao', 'China Film Co-Production Corp.']","[{'id': 146098, 'name': 'Zhang Yi', 'popularity': 1.9431}, {'id': 1816461, 'name': 'Johnny Huang', 'popularity': 2.168}, {'id': 1018563, 'name': 'Hai Qing', 'popularity': 0.6225}, {'id': 1576969, 'name': 'Du Jiang', 'popularity': 0.9972}, {'id': 99687, 'name': 'Zhang Hanyu', 'popularity': 2.3571}]","{'id': 81220, 'name': 'Dante Lam Chiu-Yin', 'popularity': 0.9893}"
407451,A Wrinkle in Time,en,103000000,132675864,109,2.1303,5.064,1803,2018-03-08,2018,"[{'name': 'Adventure', 'id': 12}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Family', 'id': 10751}, {'name': 'Fantasy', 'id': 14}]","['Whitaker Entertainment', 'Walt Disney Pictures']","[{'id': 1344344, 'name': 'Storm Reid', 'popularity': 3.5453}, {'id': 13309, 'name': 'Oprah Winfrey', 'popularity': 3.5444}, {'id': 368, 'name': 'Reese Witherspoon', 'popularity': 12.8223}, {'id': 125167, 'name': 'Mindy Kaling', 'popularity': 2.9093}, {'id': 1313583, 'name': 'Levi Miller', 'popularity': 2.4721}]","{'id': 929825, 'name': 'Ava DuVernay', 'popularity': 2.2576}"
