id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
441384,The Beach Bum,en,5000000,4600000,95,1.5309,5.681,518,2019-03-21,2019,"[{'name': 'Comedy', 'id': 35}]","['Riverstone Pictures', 'Vice Studios', 'SPK Pictures', 'RocketScience', 'Iconoclast', 'Anonymous Content', 'Le Grisbi Productions']","[{'id': 10297, 'name': 'Matthew McConaughey', 'popularity': 6.4123}, {'id': 19767, 'name': 'Snoop Dogg', 'popularity': 3.9104}, {'id': 52848, 'name': 'Isla Fisher', 'popularity': 4.8588}, {'id': 994073, 'name': 'Jimmy Buffett', 'popularity': 1.6107}, {'id': 29222, 'name': 'Zac Efron', 'popularity': 6.3743}]","{'id': 51918, 'name': 'Harmony Korine', 'popularity': 1.63}"
534259,Blinded by the Light,en,8300000,18144644,118,1.5302,6.93,583,2019-08-09,2019,"[{'name': 'Drama', 'id': 18}, {'name': 'Comedy', 'id': 35}]","['Bend It Films', 'Ingenious Media', 'Levantine Films', 'Rakija Films', 'Cornerstone Films', 'New Line Cinema', 'Endeavor Content']","[{'id': 1968476, 'name': 'Viveik Kalra', 'popularity': 0.9359}, {'id': 1865731, 'name': 'Nell Williams', 'popularity': 0.5979}, {'id': 39459, 'name': 'Hayley Atwell', 'popularity': 6.8145}, {'id': 62229, 'name': 'Kulvinder Ghir', 'popularity': 1.5331}, {'id': 1831732, 'name': 'Aaron Phagura', 'popularity': 0.388}]","{'id': 6220, 'name': 'Gurinder Chadha', 'popularity': 1.572}"
613090,Vivir dos veces,es,1450000,368430,101,1.5254,7.462,345,2019-09-06,2019,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]","['Alamar Cinema 161', 'Convoy Films', 'Film Factory']","[{'id': 224728, 'name': 'Inma Cuesta', 'popularity': 1.2196}, {'id': 1457004, 'name': 'Oscar Martínez', 'popularity': 0.6952}, {'id': 2354330, 'name': 'Mafalda Carbonell', 'popularity': 0.1608}, {'id': 1171325, 'name': 'Nacho López', 'popularity': 0.1852}, {'id': 1361480, 'name': 'Isabel Requena', 'popularity': 0.299}]","{'id': 102329, 'name': 'María Ripoll', 'popularity': 0.5943}"
446159,Bacurau,pt,1430000,3554178,131,1.65,7.674,1066,2019-08-29,2019,"[{'name': 'Mystery', 'id': 9648}, {'name': 'Western', 'id': 37}, {'name': 'Thriller', 'id': 53}]","['Símio Filmes', 'CinemaScópio', 'ARTE France Cinéma', 'Globo Filmes', 'SBS Productions', 'Canal Brasil', 'Telecine']","[{'id': 1424077, 'name': 'Bárbara Colen', 'popularity': 0.2919}, {'id': 2346576, 'name': 'Thomás Aquino', 'popularity': 0.5368}, {'id': 2267518, 'name': 'Silvero Pereira', 'popularity': 0.6388}, {'id': 27396, 'name': 'Sônia Braga', 'popularity': 2.6797}, {'id': 1646, 'name': 'Udo Kier', 'popularity': 2.6685}]","{'id': 1016214, 'name': 'Kleber Mendonça Filho', 'popularity': 0.983}"
582186,"Oh, Ramona!",en,2800000,1200582,109,1.1529,5.8,411,2019-02-14,2019,"[{'name': 'Comedy', 'id': 35}, {'name': 'Romance', 'id': 10749}]",['Zazu Film'],"[{'id': 1283698, 'name': 'Bogdan Iancu', 'popularity': 0.2742}, {'id': 1730417, 'name': 'Aggy K. Adams', 'popularity': 0.4904}, {'id': 1858594, 'name': 'Basil Eidenbenz', 'popularity': 0.2982}, {'id': 2242314, 'name': 'Holly Horne', 'popularity': 0.2445}, {'id': 1455786, 'name': 'Adina Ștețcu', 'popularity': 0.3737}]","{'id': 1412730, 'name': 'Cristina Jacob', 'popularity': 0.3611}"
489064,3 from Hell,en,3000000,2295825,115,1.6033,5.812,493,2019-09-16,2019,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}]","['Lionsgate', 'Capital Arts Entertainment', 'Spookshow International', 'Saban Films']","[{'id': 21319, 'name': 'Sheri Moon Zombie', 'popularity': 1.4144}, {'id': 27737, 'name': 'Bill Moseley', 'popularity': 1.7248}, {'id': 3901, 'name': 'Richard Brake', 'popularity': 2.5408}, {'id': 53257, 'name': 'Emilio Rivera', 'popularity': 2.618}, {'id': 5695, 'name': 'Sid Haig', 'popularity': 2.8872}]","{'id': 16848, 'name': 'Rob Zombie', 'popularity': 2.5445}"
524659,Crown Vic,en,3600000,3868,110,1.4505,6.209,201,2019-11-01,2019,"[{'name': 'Crime', 'id': 80}, {'name': 'Drama', 'id': 18}, {'name': 'Action', 'id': 28}]","['Brittany House Pictures', 'BondIt Media Capital', 'Crown Vic Productions', 'El Dorado Pictures', 'Wudi Pictures']","[{'id': 11155, 'name': 'Thomas Jane', 'popularity': 3.117}, {'id': 967781, 'name': 'Luke Kleintank', 'popularity': 1.7461}, {'id': 31532, 'name': 'Josh Hopkins', 'popularity': 2.2078}, {'id': 38582, 'name': 'David Krumholtz', 'popularity': 2.9346}, {'id': 18354, 'name': 'Bridget Moynahan', 'popularity': 2.8744}]","{'id': 1151353, 'name': 'Joel Souza', 'popularity': 0.9293}"
520900,The Personal History of David Copperfield,en,15600000,11620337,119,1.2454,6.441,487,2019-11-07,2019,"[{'name': 'Comedy', 'id': 35}]","['FilmNation Entertainment', 'Film4 Productions', 'Wishmore']","[{'id': 76788, 'name': 'Dev Patel', 'popularity': 4.2564}, {'id': 12982, 'name': 'Peter Capaldi', 'popularity': 3.2969}, {'id': 17064, 'name': 'Ben Whishaw', 'popularity': 5.2777}, {'id': 3063, 'name': 'Tilda Swinton', 'popularity': 4.9995}, {'id': 1011904, 'name': 'Gwendoline Christie', 'popularity': 2.1721}]","{'id': 88926, 'name': 'Armando Iannucci', 'popularity': 1.2005}"
468816,The Rising Hawk,en,2900000,1560697,110,1.2603,5.9,130,2019-10-10,2019,"[{'name': 'Action', 'id': 28}, {'name': 'History', 'id': 36}, {'name': 'Drama', 'id': 18}]","['Kinorob', 'Cinema Day', 'Ukrainian State Film Agency']","[{'id': 1381981, 'name': 'Alex MacNicoll', 'popularity': 1.4257}, {'id': 1541266, 'name': 'Poppy Drayton', 'popularity': 1.2586}, {'id': 1210153, 'name': 'Rocky Myers', 'popularity': 1.2291}, {'id': 2232021, 'name': 'Alina Kovalenko', 'popularity': 0.5142}, {'id': 418, 'name': 'Robert Patrick', 'popularity': 4.0067}]","{'id': 1272703, 'name': 'Akhtem Seitablaiev', 'popularity': 0.7144}"
399121,J'accuse,fr,25300000,18878646,132,1.3752,7.1,1524,2019-09-30,2019,"[{'name': 'History', 'id': 36}, {'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}]","['R.P. Productions', 'Gaumont', 'France 3 Cinéma', 'France 2 Cinéma', 'Èliseo Entertainment', 'RAI Cinema', 'Légende Films']","[{'id': 56024, 'name': 'Jean Dujardin', 'popularity': 2.2271}, {'id': 16269, 'name': 'Louis Garrel', 'popularity': 2.3811}, {'id': 8925, 'name': 'Emmanuelle Seigner', 'popularity': 1.6545}, {'id': 223532, 'name': 'Grégory Gadebois', 'popularity': 1.7244}, {'id': 146720, 'name': 'Hervé Pierre', 'popularity': 0.8906}]","{'id': 3556, 'name': 'Roman Polanski', 'popularity': 2.423}"
